index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Away,W,2,1,Burnley,1.3,1.0,65,"16,910",Lewis Dunk,4-1-4-1,David Coote,Match Report,,https://fbref.com/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,0
1,2021-08-21,17:30 ,Premier League,Matchweek 2,Sat,Home,W,2,0,Watford,1.5,0.9,57,"29,485",Lewis Dunk,3-4-3,Anthony Taylor,Match Report,,https://fbref.com/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,2
3,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Home,L,0,2,Everton,1.0,1.6,65,"30,548",Lewis Dunk,3-4-3,Jonathan Moss,Match Report,,https://fbref.com/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,1
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Away,W,1,0,Brentford,0.2,0.7,59,"16,518",Lewis Dunk,3-4-1-2,Graham Scott,Match Report,,https://fbref.com/en/matches/19a03697/Brentford-Brighton-and-Hove-Albion-September-11-2021-Premier-League,3
5,2021-09-19,14:00 ,Premier League,Matchweek 5,Sun,Home,W,2,1,Leicester City,1.4,1.7,37,"31,078",Lewis Dunk,4-4-2,Stuart Attwell,Match Report,,https://fbref.com/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,1
7,2021-09-27,20:00 ,Premier League,Matchweek 6,Mon,Away,D,1,1,Crystal Palace,0.6,1.4,53,"22,975",Lewis Dunk,3-4-3,Andre Marriner,Match Report,,https://fbref.com/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League,2
8,2021-10-02,17:30 ,Premier League,Matchweek 7,Sat,Home,D,0,0,Arsenal,1.4,0.5,59,"31,266",Lewis Dunk,3-5-2,Jonathan Moss,Match Report,,https://fbref.com/en/matches/cdaded7b/Brighton-and-Hove-Albion-Arsenal-October-2-2021-Premier-League,1
9,2021-10-16,15:00 ,Premier League,Matchweek 8,Sat,Away,D,0,0,Norwich City,0.9,1.0,64,"26,777",Lewis Dunk,3-5-2,Peter Bankes,Match Report,,https://fbref.com/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League,0
10,2021-10-23,17:30 ,Premier League,Matchweek 9,Sat,Home,L,1,4,Manchester City,1.3,3.9,48,"31,215",Lewis Dunk,3-5-2,Kevin Friend,Match Report,,https://fbref.com/en/matches/dc93611c/Brighton-and-Hove-Albion-Manchester-City-October-23-2021-Premier-League,1
12,2021-10-30,15:00 ,Premier League,Matchweek 10,Sat,Away,D,2,2,Liverpool,1.1,1.1,43,"52,598",Lewis Dunk,4-2-3-1,Mike Dean,Match Report,,https://fbref.com/en/matches/c68998b5/Liverpool-Brighton-and-Hove-Albion-October-30-2021-Premier-League,3
13,2021-11-06,17:30 ,Premier League,Matchweek 11,Sat,Home,D,1,1,Newcastle Utd,1.6,0.2,65,"31,267",Lewis Dunk,4-2-3-1,David Coote,Match Report,,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League,1
14,2021-11-20,15:00 ,Premier League,Matchweek 12,Sat,Away,L,0,2,Aston Villa,0.4,0.6,63,"41,925",Lewis Dunk,3-5-2,Anthony Taylor,Match Report,,https://fbref.com/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,4
15,2021-11-27,17:30 ,Premier League,Matchweek 13,Sat,Home,D,0,0,Leeds United,2.1,0.9,58,"31,166",Lewis Dunk,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/5d651cd7/Brighton-and-Hove-Albion-Leeds-United-November-27-2021-Premier-League,3
16,2021-12-01,19:30 ,Premier League,Matchweek 14,Wed,Away,D,1,1,West Ham,1.1,1.6,65,"59,626",Lewis Dunk,4-2-3-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/2049300f/West-Ham-United-Brighton-and-Hove-Albion-December-1-2021-Premier-League,2
17,2021-12-04,15:00 ,Premier League,Matchweek 15,Sat,Away,D,1,1,Southampton,1.4,1.4,56,"28,706",Shane Duffy,3-5-2,Anthony Taylor,Match Report,,https://fbref.com/en/matches/27fd5d70/Southampton-Brighton-and-Hove-Albion-December-4-2021-Premier-League,5
19,2021-12-15,19:30 ,Premier League,Matchweek 17,Wed,Home,L,0,1,Wolves,1.1,1.3,59,"30,362",Dan Burn,4-3-3,Tony Harrington,Match Report,,https://fbref.com/en/matches/60178542/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-December-15-2021-Premier-League,3
21,2021-12-26,20:00 ,Premier League,Matchweek 19,Sun,Home,W,2,0,Brentford,0.9,0.9,51,"30,141",Adam Lallana,4-4-2◆,Darren England,Match Report,,https://fbref.com/en/matches/1f64133b/Brighton-and-Hove-Albion-Brentford-December-26-2021-Premier-League,4
22,2021-12-29,19:30 ,Premier League,Matchweek 20,Wed,Away,D,1,1,Chelsea,0.9,1.1,51,"40,080",Adam Lallana,3-4-3,Mike Dean,Match Report,,https://fbref.com/en/matches/8fbe2e12/Chelsea-Brighton-and-Hove-Albion-December-29-2021-Premier-League,3
23,2022-01-02,14:00 ,Premier League,Matchweek 21,Sun,Away,W,3,2,Everton,1.5,1.7,50,"38,203",Adam Lallana,4-4-2,John Brooks,Match Report,,https://fbref.com/en/matches/e22bb565/Everton-Brighton-and-Hove-Albion-January-2-2022-Premier-League,3
25,2022-01-14,20:00 ,Premier League,Matchweek 22,Fri,Home,D,1,1,Crystal Palace,2.1,0.3,64,"30,675",Adam Lallana,4-4-2◆,Robert Jones,Match Report,,https://fbref.com/en/matches/96630936/Brighton-and-Hove-Albion-Crystal-Palace-January-14-2022-Premier-League,2
