index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Home,W,3,1,Southampton,2.4,0.7,48,"38,487",Séamus Coleman,4-2-3-1,Andy Madley,Match Report,,https://fbref.com/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,0
1,2021-08-21,15:00 ,Premier League,Matchweek 2,Sat,Away,D,2,2,Leeds United,2.0,1.5,31,"36,293",Séamus Coleman,4-4-1-1,Darren England,Match Report,,https://fbref.com/en/matches/b9064680/Leeds-United-Everton-August-21-2021-Premier-League,2
3,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,1.6,1.0,35,"30,548",Séamus Coleman,4-4-1-1,Jonathan Moss,Match Report,,https://fbref.com/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,2
4,2021-09-13,20:00 ,Premier League,Matchweek 4,Mon,Home,W,3,1,Burnley,1.3,1.3,52,"30,000",Séamus Coleman,3-4-3,Martin Atkinson,Match Report,,https://fbref.com/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League,2
5,2021-09-18,17:30 ,Premier League,Matchweek 5,Sat,Away,L,0,3,Aston Villa,0.7,1.3,45,"41,888",Lucas Digne,4-4-1-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/57323feb/Aston-Villa-Everton-September-18-2021-Premier-League,3
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,2.1,0.6,47,"38,821",Lucas Digne,4-4-1-1,David Coote,Match Report,,https://fbref.com/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League,1
8,2021-10-02,12:30 ,Premier League,Matchweek 7,Sat,Away,D,1,1,Manchester Utd,1.1,0.9,28,"73,128",Lucas Digne,4-4-1-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League,1
9,2021-10-17,14:00 ,Premier League,Matchweek 8,Sun,Home,L,0,1,West Ham,0.8,1.5,39,"39,132",Séamus Coleman,4-4-1-1,Stuart Attwell,Match Report,,https://fbref.com/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,2
10,2021-10-23,15:00 ,Premier League,Matchweek 9,Sat,Home,L,2,5,Watford,2.3,3.2,50,"38,834",Séamus Coleman,4-4-1-1,Graham Scott,Match Report,,https://fbref.com/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,2
11,2021-11-01,20:00 ,Premier League,Matchweek 10,Mon,Away,L,1,2,Wolves,1.5,1.6,38,"30,617",Séamus Coleman,4-4-2,Martin Atkinson,Match Report,,https://fbref.com/en/matches/c9ad66cc/Wolverhampton-Wanderers-Everton-November-1-2021-Premier-League,4
12,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Home,D,0,0,Tottenham,0.5,0.8,44,"39,059",Séamus Coleman,4-4-1-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League,3
13,2021-11-21,14:00 ,Premier League,Matchweek 12,Sun,Away,L,0,3,Manchester City,0.3,2.3,24,"52,571",Séamus Coleman,4-4-1-1,Stuart Attwell,Match Report,,https://fbref.com/en/matches/bfbe7402/Manchester-City-Everton-November-21-2021-Premier-League,0
14,2021-11-28,14:00 ,Premier League,Matchweek 13,Sun,Away,L,0,1,Brentford,0.9,1.2,61,"16,957",Séamus Coleman,4-4-1-1,Darren England,Match Report,,https://fbref.com/en/matches/286c4c1c/Brentford-Everton-November-28-2021-Premier-League,3
15,2021-12-01,20:15 ,Premier League,Matchweek 14,Wed,Home,L,1,4,Liverpool,0.6,2.1,32,"39,641",Séamus Coleman,4-4-2,Paul Tierney,Match Report,,https://fbref.com/en/matches/b46554fb/Merseyside-Derby-Everton-Liverpool-December-1-2021-Premier-League,2
16,2021-12-06,20:00 ,Premier League,Matchweek 15,Mon,Home,W,2,1,Arsenal,1.0,1.2,37,"38,906",Séamus Coleman,4-4-1-1,Mike Dean,Match Report,,https://fbref.com/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League,2
17,2021-12-12,16:30 ,Premier League,Matchweek 16,Sun,Away,L,1,3,Crystal Palace,1.3,1.5,39,"24,066",Séamus Coleman,4-1-4-1,Andy Madley,Match Report,,https://fbref.com/en/matches/02abf29a/Crystal-Palace-Everton-December-12-2021-Premier-League,3
18,2021-12-16,19:45 ,Premier League,Matchweek 17,Thu,Away,D,1,1,Chelsea,0.4,2.7,21,"13,933",Michael Keane,3-4-3,Michael Oliver,Match Report,,https://fbref.com/en/matches/70209eb1/Chelsea-Everton-December-16-2021-Premier-League,5
21,2022-01-02,14:00 ,Premier League,Matchweek 21,Sun,Home,L,2,3,Brighton,1.7,1.5,50,"38,203",Séamus Coleman,3-4-3,John Brooks,Match Report,,https://fbref.com/en/matches/e22bb565/Everton-Brighton-and-Hove-Albion-January-2-2022-Premier-League,4
24,2022-01-15,15:00 ,Premier League,Matchweek 22,Sat,Away,L,1,2,Norwich City,0.8,0.6,60,"26,629",Séamus Coleman,4-4-2,Andy Madley,Match Report,,https://fbref.com/en/matches/4574a1a6/Norwich-City-Everton-January-15-2022-Premier-League,3
