index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,12:30 ,Premier League,Matchweek 1,Sat,Away,L,1,5,Manchester Utd,0.6,1.5,51,"72,732",Liam Cooper,4-4-1-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League,0
1,2021-08-21,15:00 ,Premier League,Matchweek 2,Sat,Home,D,2,2,Everton,1.5,2.0,69,"36,293",Liam Cooper,3-4-3,Darren England,Match Report,,https://fbref.com/en/matches/b9064680/Leeds-United-Everton-August-21-2021-Premier-League,2
3,2021-08-29,14:00 ,Premier League,Matchweek 3,Sun,Away,D,1,1,Burnley,1.5,1.4,64,"20,000",Liam Cooper,3-5-1-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League,2
4,2021-09-12,16:30 ,Premier League,Matchweek 4,Sun,Home,L,0,3,Liverpool,1.2,4.0,43,"36,507",Liam Cooper,4-1-4-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League,1
5,2021-09-17,20:00 ,Premier League,Matchweek 5,Fri,Away,D,1,1,Newcastle Utd,2.0,1.3,65,"50,407",Liam Cooper,4-1-4-1,Mike Dean,Match Report,,https://fbref.com/en/matches/aad7d38a/Newcastle-United-Leeds-United-September-17-2021-Premier-League,2
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,L,1,2,West Ham,1.3,1.8,53,"36,417",Liam Cooper,4-1-4-1,Kevin Friend,Match Report,,https://fbref.com/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League,2
8,2021-10-02,15:00 ,Premier League,Matchweek 7,Sat,Home,W,1,0,Watford,1.9,0.2,66,"36,261",Liam Cooper,4-1-4-1,Simon Hooper,Match Report,,https://fbref.com/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,1
9,2021-10-16,15:00 ,Premier League,Matchweek 8,Sat,Away,L,0,1,Southampton,0.2,2.2,53,"30,506",Liam Cooper,3-4-3◆,David Coote,Match Report,,https://fbref.com/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League,3
10,2021-10-23,15:00 ,Premier League,Matchweek 9,Sat,Home,D,1,1,Wolves,1.9,1.0,63,"36,475",Liam Cooper,4-4-1-1,Robert Jones,Match Report,,https://fbref.com/en/matches/49b3afe3/Leeds-United-Wolverhampton-Wanderers-October-23-2021-Premier-League,1
12,2021-10-31,14:00 ,Premier League,Matchweek 10,Sun,Away,W,2,1,Norwich City,1.0,0.9,52,"26,913",Liam Cooper,3-5-1-1,Anthony Taylor,Match Report,,https://fbref.com/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League,1
13,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Home,D,1,1,Leicester City,1.2,1.1,57,"36,478",Liam Cooper,4-2-3-1,Darren England,Match Report,,https://fbref.com/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League,1
14,2021-11-21,16:30 ,Premier League,Matchweek 12,Sun,Away,L,1,2,Tottenham,1.1,2.0,57,"58,989",Liam Cooper,3-4-3,Andre Marriner,Match Report,,https://fbref.com/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League,2
15,2021-11-27,17:30 ,Premier League,Matchweek 13,Sat,Away,D,0,0,Brighton,0.9,2.1,42,"31,166",Liam Cooper,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/5d651cd7/Brighton-and-Hove-Albion-Leeds-United-November-27-2021-Premier-League,3
16,2021-11-30,20:15 ,Premier League,Matchweek 14,Tue,Home,W,1,0,Crystal Palace,1.7,1.0,61,"35,558",Liam Cooper,4-1-4-1,Kevin Friend,Match Report,,https://fbref.com/en/matches/b0ab4044/Leeds-United-Crystal-Palace-November-30-2021-Premier-League,3
17,2021-12-05,14:00 ,Premier League,Matchweek 15,Sun,Home,D,2,2,Brentford,1.2,1.0,62,"35,639",Liam Cooper,3-4-3,David Coote,Match Report,,https://fbref.com/en/matches/175160b7/Leeds-United-Brentford-December-5-2021-Premier-League,2
18,2021-12-11,15:00 ,Premier League,Matchweek 16,Sat,Away,L,2,3,Chelsea,1.4,2.8,43,"39,959",Luke Ayling,4-4-2◆,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/6ad3036b/Chelsea-Leeds-United-December-11-2021-Premier-League,2
19,2021-12-14,20:00 ,Premier League,Matchweek 17,Tue,Away,L,0,7,Manchester City,0.2,3.5,36,"52,401",Luke Ayling,4-2-3-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League,0
