index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
1,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,0.8,1.1,57,"31,983",Kasper Schmeichel,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League,0
2,2021-08-23,20:00 ,Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,0.8,2.5,47,"59,901",Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,0
3,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,1.3,1.6,55,"26,765",Kasper Schmeichel,4-4-2,Robert Jones,Match Report,,https://fbref.com/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League,1
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,0.8,2.9,39,"32,087",Kasper Schmeichel,4-2-3-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/8dd69c8d/Leicester-City-Manchester-City-September-11-2021-Premier-League,3
6,2021-09-19,14:00 ,Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,1.7,1.4,63,"31,078",Kasper Schmeichel,4-3-3,Stuart Attwell,Match Report,,https://fbref.com/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,2
8,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,2.6,0.7,66,"31,650",Kasper Schmeichel,4-3-3,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League,1
10,2021-10-03,14:00 ,Premier League,Matchweek 7,Sun,Away,D,2,2,Crystal Palace,1.7,1.3,40,"25,000",Kasper Schmeichel,4-4-2,Anthony Taylor,Match Report,,https://fbref.com/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League,3
11,2021-10-16,15:00 ,Premier League,Matchweek 8,Sat,Home,W,4,2,Manchester Utd,3.1,1.4,49,"32,219",Kasper Schmeichel,3-4-1-2,Craig Pawson,Match Report,,https://fbref.com/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League,5
13,2021-10-24,14:00 ,Premier League,Matchweek 9,Sun,Away,W,2,1,Brentford,1.5,1.2,45,"16,814",Kasper Schmeichel,3-4-1-2,Simon Hooper,Match Report,,https://fbref.com/en/matches/b5c25937/Brentford-Leicester-City-October-24-2021-Premier-League,0
15,2021-10-30,12:30 ,Premier League,Matchweek 10,Sat,Home,L,0,2,Arsenal,1.2,0.9,64,"32,209",Kasper Schmeichel,3-4-1-2,Michael Oliver,Match Report,,https://fbref.com/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League,1
17,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Away,D,1,1,Leeds United,1.1,1.2,43,"36,478",Kasper Schmeichel,4-3-3,Darren England,Match Report,,https://fbref.com/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League,4
18,2021-11-20,12:30 ,Premier League,Matchweek 12,Sat,Home,L,0,3,Chelsea,0.4,2.4,40,"35,497",Kasper Schmeichel,3-4-3,Paul Tierney,Match Report,,https://fbref.com/en/matches/2fd486d6/Leicester-City-Chelsea-November-20-2021-Premier-League,2
20,2021-11-28,14:00 ,Premier League,Matchweek 13,Sun,Home,W,4,2,Watford,2.2,2.7,56,"32,020",Kasper Schmeichel,4-2-3-1,Andy Madley,Match Report,,https://fbref.com/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League,2
21,2021-12-01,19:30 ,Premier League,Matchweek 14,Wed,Away,D,2,2,Southampton,1.5,1.5,56,"26,951",Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,,https://fbref.com/en/matches/135f5959/Southampton-Leicester-City-December-1-2021-Premier-League,0
22,2021-12-05,16:30 ,Premier League,Matchweek 15,Sun,Away,L,1,2,Aston Villa,1.4,2.0,59,"41,572",Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/49cc65ac/Aston-Villa-Leicester-City-December-5-2021-Premier-League,2
24,2021-12-12,14:00 ,Premier League,Matchweek 16,Sun,Home,W,4,0,Newcastle Utd,2.5,0.6,49,"31,959",Kasper Schmeichel,4-2-3-1,Peter Bankes,Match Report,,https://fbref.com/en/matches/8805978d/Leicester-City-Newcastle-United-December-12-2021-Premier-League,1
26,2021-12-26,15:00 ,Premier League,Matchweek 19,Sun,Away,L,3,6,Manchester City,2.3,3.4,28,"53,226",Kasper Schmeichel,4-4-1-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/49e84e17/Manchester-City-Leicester-City-December-26-2021-Premier-League,6
27,2021-12-28,20:00 ,Premier League,Matchweek 20,Tue,Home,W,1,0,Liverpool,0.6,2.5,38,"32,230",Kasper Schmeichel,4-4-2◆,Michael Oliver,Match Report,,https://fbref.com/en/matches/8ad7b26f/Leicester-City-Liverpool-December-28-2021-Premier-League,5
