index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,17:30 ,Premier League,Matchweek 1,Sat,Away,W,3,0,Norwich City,2.0,1.4,51,"27,023",James Milner,4-3-3,Andre Marriner,Match Report,,https://fbref.com/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,0
1,2021-08-21,12:30 ,Premier League,Matchweek 2,Sat,Home,W,2,0,Burnley,2.9,0.7,63,"52,591",Jordan Henderson,4-3-3,Mike Dean,Match Report,,https://fbref.com/en/matches/94d9dac0/Liverpool-Burnley-August-21-2021-Premier-League,2
2,2021-08-28,17:30 ,Premier League,Matchweek 3,Sat,Home,D,1,1,Chelsea,2.6,0.8,65,"54,000",Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,https://fbref.com/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League,3
3,2021-09-12,16:30 ,Premier League,Matchweek 4,Sun,Away,W,3,0,Leeds United,4.0,1.2,57,"36,507",Virgil van Dijk,4-3-3,Craig Pawson,Match Report,,https://fbref.com/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League,2
5,2021-09-18,15:00 ,Premier League,Matchweek 5,Sat,Home,W,3,0,Crystal Palace,2.7,0.8,59,"52,000",Jordan Henderson,4-3-3,Andy Madley,Match Report,,https://fbref.com/en/matches/59ef8c18/Liverpool-Crystal-Palace-September-18-2021-Premier-League,4
7,2021-09-25,17:30 ,Premier League,Matchweek 6,Sat,Away,D,3,3,Brentford,2.5,1.9,66,"16,876",Jordan Henderson,4-3-3,Stuart Attwell,Match Report,,https://fbref.com/en/matches/87140543/Brentford-Liverpool-September-25-2021-Premier-League,4
9,2021-10-03,16:30 ,Premier League,Matchweek 7,Sun,Home,D,2,2,Manchester City,1.0,1.2,49,"53,102",Jordan Henderson,4-3-3,Paul Tierney,Match Report,,https://fbref.com/en/matches/2598b046/Liverpool-Manchester-City-October-3-2021-Premier-League,1
10,2021-10-16,12:30 ,Premier League,Matchweek 8,Sat,Away,W,5,0,Watford,3.6,0.5,75,"21,085",Jordan Henderson,4-3-3,Jonathan Moss,Match Report,,https://fbref.com/en/matches/2ce6d340/Watford-Liverpool-October-16-2021-Premier-League,4
12,2021-10-24,16:30 ,Premier League,Matchweek 9,Sun,Away,W,5,0,Manchester Utd,3.8,1.5,63,"73,088",Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League,3
14,2021-10-30,15:00 ,Premier League,Matchweek 10,Sat,Home,D,2,2,Brighton,1.1,1.1,57,"52,598",Jordan Henderson,4-3-3,Mike Dean,Match Report,,https://fbref.com/en/matches/c68998b5/Liverpool-Brighton-and-Hove-Albion-October-30-2021-Premier-League,2
