index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,12:30 ,Premier League,Matchweek 1,Sat,Home,W,5,1,Leeds United,1.5,0.6,49,"72,732",Harry Maguire,4-2-3-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League,0
1,2021-08-22,14:00 ,Premier League,Matchweek 2,Sun,Away,D,1,1,Southampton,1.4,0.8,62,"32,000",Harry Maguire,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/345b3989/Southampton-Manchester-United-August-22-2021-Premier-League,2
2,2021-08-29,16:30 ,Premier League,Matchweek 3,Sun,Away,W,1,0,Wolves,0.6,1.8,56,"30,621",Harry Maguire,4-2-3-1,Mike Dean,Match Report,,https://fbref.com/en/matches/871109e6/Wolverhampton-Wanderers-Manchester-United-August-29-2021-Premier-League,3
3,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Home,W,4,1,Newcastle Utd,2.1,0.7,64,"72,732",Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,,https://fbref.com/en/matches/7794fd6c/Manchester-United-Newcastle-United-September-11-2021-Premier-League,2
5,2021-09-19,14:00 ,Premier League,Matchweek 5,Sun,Away,W,2,1,West Ham,1.8,1.6,61,"60,000",Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,,https://fbref.com/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League,2
7,2021-09-25,12:30 ,Premier League,Matchweek 6,Sat,Home,L,0,1,Aston Villa,2.3,1.2,58,"72,922",Harry Maguire,4-2-3-1,Mike Dean,Match Report,,https://fbref.com/en/matches/7c21232e/Manchester-United-Aston-Villa-September-25-2021-Premier-League,0
9,2021-10-02,12:30 ,Premier League,Matchweek 7,Sat,Home,D,1,1,Everton,0.9,1.1,72,"73,128",Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League,3
10,2021-10-16,15:00 ,Premier League,Matchweek 8,Sat,Away,L,2,4,Leicester City,1.4,3.1,51,"32,219",Harry Maguire,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League,5
12,2021-10-24,16:30 ,Premier League,Matchweek 9,Sun,Home,L,0,5,Liverpool,1.5,3.8,37,"73,088",Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League,3
13,2021-10-30,17:30 ,Premier League,Matchweek 10,Sat,Away,W,3,0,Tottenham,1.2,0.7,42,"60,356",Harry Maguire,3-4-1-2,Stuart Attwell,Match Report,,https://fbref.com/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,2
15,2021-11-06,12:30 ,Premier League,Matchweek 11,Sat,Home,L,0,2,Manchester City,0.6,2.0,33,"73,086",Harry Maguire,3-5-2,Michael Oliver,Match Report,,https://fbref.com/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League,2
16,2021-11-20,15:00 ,Premier League,Matchweek 12,Sat,Away,L,1,4,Watford,1.6,2.2,60,"21,087",Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League,3
18,2021-11-28,16:30 ,Premier League,Matchweek 13,Sun,Away,D,1,1,Chelsea,0.7,2.9,35,"40,041",Bruno Fernandes,4-4-2◆,Anthony Taylor,Match Report,,https://fbref.com/en/matches/08b3c5d8/Chelsea-Manchester-United-November-28-2021-Premier-League,3
19,2021-12-02,20:15 ,Premier League,Matchweek 14,Thu,Home,W,3,2,Arsenal,1.9,1.5,45,"73,123",Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,,https://fbref.com/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,3
20,2021-12-05,14:00 ,Premier League,Matchweek 15,Sun,Home,W,1,0,Crystal Palace,1.1,0.9,62,"73,172",Harry Maguire,4-2-2-2,Craig Pawson,Match Report,,https://fbref.com/en/matches/8d10c8d4/Manchester-United-Crystal-Palace-December-5-2021-Premier-League,0
22,2021-12-11,17:30 ,Premier League,Matchweek 16,Sat,Away,W,1,0,Norwich City,1.9,0.9,52,"27,606",Harry Maguire,4-2-2-2,Darren England,Match Report,,https://fbref.com/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League,0
24,2021-12-27,20:00 ,Premier League,Matchweek 19,Mon,Away,D,1,1,Newcastle Utd,1.2,1.1,67,"52,178",Harry Maguire,4-2-2-2,Craig Pawson,Match Report,,https://fbref.com/en/matches/f91fee43/Newcastle-United-Manchester-United-December-27-2021-Premier-League,2
25,2021-12-30,20:15 ,Premier League,Matchweek 20,Thu,Home,W,3,1,Burnley,2.0,0.8,57,"73,121",Harry Maguire,4-4-2,Jonathan Moss,Match Report,,https://fbref.com/en/matches/bbfa96c9/Manchester-United-Burnley-December-30-2021-Premier-League,6
26,2022-01-03,17:30 ,Premier League,Matchweek 21,Mon,Home,L,0,1,Wolves,0.8,0.7,52,"73,045",Cristiano Ronaldo,4-4-2,Mike Dean,Match Report,,https://fbref.com/en/matches/8e966b52/Manchester-United-Wolverhampton-Wanderers-January-3-2022-Premier-League,2
28,2022-01-15,17:30 ,Premier League,Matchweek 22,Sat,Away,D,2,2,Aston Villa,1.0,2.1,46,"41,968",Bruno Fernandes,4-2-3-1,David Coote,Match Report,,https://fbref.com/en/matches/745dc664/Aston-Villa-Manchester-United-January-15-2022-Premier-League,6
