index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-15,16:30 ,Premier League,Matchweek 1,Sun,Home,W,1,0,Manchester City,1.3,1.9,36,"58,262",Hugo Lloris,4-3-3,Anthony Taylor,Match Report,,https://fbref.com/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,0
2,2021-08-22,14:00 ,Premier League,Matchweek 2,Sun,Away,W,1,0,Wolves,1.5,1.4,43,"30,368",Hugo Lloris,4-3-3,Stuart Attwell,Match Report,,https://fbref.com/en/matches/26ceb3c9/Wolverhampton-Wanderers-Tottenham-Hotspur-August-22-2021-Premier-League,0
4,2021-08-29,14:00 ,Premier League,Matchweek 3,Sun,Home,W,1,0,Watford,0.9,0.6,56,"57,672",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,https://fbref.com/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League,1
5,2021-09-11,12:30 ,Premier League,Matchweek 4,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,38,"26,000",Hugo Lloris,4-4-2◆,Jonathan Moss,Match Report,,https://fbref.com/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League,3
7,2021-09-19,16:30 ,Premier League,Matchweek 5,Sun,Home,L,0,3,Chelsea,0.7,1.9,47,"60,059",Hugo Lloris,4-3-2-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League,4
9,2021-09-26,16:30 ,Premier League,Matchweek 6,Sun,Away,L,1,3,Arsenal,1.0,0.8,54,"59,919",Hugo Lloris,4-3-3,Craig Pawson,Match Report,,https://fbref.com/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,3
11,2021-10-03,14:00 ,Premier League,Matchweek 7,Sun,Home,W,2,1,Aston Villa,1.7,1.1,58,"53,076",Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League,3
12,2021-10-17,16:30 ,Premier League,Matchweek 8,Sun,Away,W,3,2,Newcastle Utd,1.6,0.5,63,"52,214",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League,0
14,2021-10-24,14:00 ,Premier League,Matchweek 9,Sun,Away,L,0,1,West Ham,0.7,1.2,61,"59,924",Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League,0
16,2021-10-30,17:30 ,Premier League,Matchweek 10,Sat,Home,L,0,3,Manchester Utd,0.7,1.2,58,"60,356",Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,,https://fbref.com/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,2
18,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Away,D,0,0,Everton,0.8,0.5,56,"39,059",Hugo Lloris,3-4-3,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League,1
19,2021-11-21,16:30 ,Premier League,Matchweek 12,Sun,Home,W,2,1,Leeds United,2.0,1.1,43,"58,989",Hugo Lloris,3-4-3,Andre Marriner,Match Report,,https://fbref.com/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League,2
22,2021-12-02,19:30 ,Premier League,Matchweek 14,Thu,Home,W,2,0,Brentford,2.4,0.3,47,"54,202",Hugo Lloris,3-4-3,Jonathan Moss,Match Report,,https://fbref.com/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League,2
23,2021-12-05,14:00 ,Premier League,Matchweek 15,Sun,Home,W,3,0,Norwich City,1.7,1.6,41,"57,088",Hugo Lloris,3-4-3,Jarred Gillett,Match Report,,https://fbref.com/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League,1
26,2021-12-19,16:30 ,Premier League,Matchweek 18,Sun,Home,D,2,2,Liverpool,3.4,1.5,43,"45,421",Hugo Lloris,3-5-2,Paul Tierney,Match Report,,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League,5
28,2021-12-26,15:00 ,Premier League,Matchweek 19,Sun,Home,W,3,0,Crystal Palace,2.5,0.2,60,"40,539",Hugo Lloris,3-4-3,Jonathan Moss,Match Report,,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League,5
29,2021-12-28,15:00 ,Premier League,Matchweek 20,Tue,Away,D,1,1,Southampton,2.4,0.4,64,"31,304",Hugo Lloris,3-4-3,Anthony Taylor,Match Report,,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League,3
30,2022-01-01,15:00 ,Premier League,Matchweek 21,Sat,Away,W,1,0,Watford,2.0,0.3,74,"20,391",Hugo Lloris,3-4-3,Robert Jones,Match Report,,https://fbref.com/en/matches/9c831c07/Watford-Tottenham-Hotspur-January-1-2022-Premier-League,2
