index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Home,W,3,2,Aston Villa,1.2,1.1,39,"20,051",Tom Cleverley,4-5-1,Mike Dean,Match Report,,https://fbref.com/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,0
1,2021-08-21,17:30 ,Premier League,Matchweek 2,Sat,Away,L,0,2,Brighton,0.9,1.5,43,"29,485",Tom Cleverley,4-1-4-1,Anthony Taylor,Match Report,,https://fbref.com/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,1
3,2021-08-29,14:00 ,Premier League,Matchweek 3,Sun,Away,L,0,1,Tottenham,0.6,0.9,44,"57,672",Craig Cathcart,4-1-4-1,Andre Marriner,Match Report,,https://fbref.com/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League,4
4,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Home,L,0,2,Wolves,0.2,2.1,44,"20,019",William Troost-Ekong,4-5-1,Peter Bankes,Match Report,,https://fbref.com/en/matches/09db0909/Watford-Wolverhampton-Wanderers-September-11-2021-Premier-League,2
5,2021-09-18,15:00 ,Premier League,Matchweek 5,Sat,Away,W,3,1,Norwich City,1.8,1.0,52,"26,649",Tom Cleverley,4-2-3-1,Robert Jones,Match Report,,https://fbref.com/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League,4
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,D,1,1,Newcastle Utd,1.1,2.5,52,"20,650",Tom Cleverley,4-2-3-1,Jarred Gillett,Match Report,,https://fbref.com/en/matches/70fda3e9/Watford-Newcastle-United-September-25-2021-Premier-League,0
8,2021-10-02,15:00 ,Premier League,Matchweek 7,Sat,Away,L,0,1,Leeds United,0.2,1.9,34,"36,261",Ben Foster,4-2-3-1,Simon Hooper,Match Report,,https://fbref.com/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,2
9,2021-10-16,12:30 ,Premier League,Matchweek 8,Sat,Home,L,0,5,Liverpool,0.5,3.6,25,"21,085",Moussa Sissoko,3-4-3,Jonathan Moss,Match Report,,https://fbref.com/en/matches/2ce6d340/Watford-Liverpool-October-16-2021-Premier-League,3
10,2021-10-23,15:00 ,Premier League,Matchweek 9,Sat,Away,W,5,2,Everton,3.2,2.3,50,"38,834",Moussa Sissoko,4-1-4-1,Graham Scott,Match Report,,https://fbref.com/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,3
11,2021-10-30,15:00 ,Premier League,Matchweek 10,Sat,Home,L,0,1,Southampton,1.2,2.0,40,"20,869",Moussa Sissoko,4-4-1-1,Peter Bankes,Match Report,,https://fbref.com/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League,1
12,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Away,L,0,1,Arsenal,0.7,1.7,40,"59,833",Moussa Sissoko,4-5-1,Kevin Friend,Match Report,,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League,5
13,2021-11-20,15:00 ,Premier League,Matchweek 12,Sat,Home,W,4,1,Manchester Utd,2.2,1.6,40,"21,087",Moussa Sissoko,4-1-4-1,Jonathan Moss,Match Report,,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League,3
14,2021-11-28,14:00 ,Premier League,Matchweek 13,Sun,Away,L,2,4,Leicester City,2.7,2.2,44,"32,020",Moussa Sissoko,4-5-1,Andy Madley,Match Report,,https://fbref.com/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League,3
15,2021-12-01,19:30 ,Premier League,Matchweek 14,Wed,Home,L,1,2,Chelsea,1.0,1.3,51,"20,388",Moussa Sissoko,4-1-4-1,David Coote,Match Report,,https://fbref.com/en/matches/f475576b/Watford-Chelsea-December-1-2021-Premier-League,1
16,2021-12-04,17:30 ,Premier League,Matchweek 15,Sat,Home,L,1,3,Manchester City,0.7,3.6,24,"20,673",Moussa Sissoko,4-5-1,Simon Hooper,Match Report,,https://fbref.com/en/matches/befb6648/Watford-Manchester-City-December-4-2021-Premier-League,1
17,2021-12-10,20:00 ,Premier League,Matchweek 16,Fri,Away,L,1,2,Brentford,0.6,1.9,36,"16,861",Moussa Sissoko,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/49a36a4e/Brentford-Watford-December-10-2021-Premier-League,3
20,2021-12-28,15:00 ,Premier League,Matchweek 20,Tue,Home,L,1,4,West Ham,1.1,2.9,43,"20,073",Moussa Sissoko,4-1-4-1,Darren England,Match Report,,https://fbref.com/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League,3
21,2022-01-01,15:00 ,Premier League,Matchweek 21,Sat,Home,L,0,1,Tottenham,0.3,2.0,26,"20,391",Moussa Sissoko,4-4-2,Robert Jones,Match Report,,https://fbref.com/en/matches/9c831c07/Watford-Tottenham-Hotspur-January-1-2022-Premier-League,3
23,2022-01-15,15:00 ,Premier League,Matchweek 22,Sat,Away,D,1,1,Newcastle Utd,1.5,1.4,47,"52,223",Moussa Sissoko,4-3-3,Paul Tierney,Match Report,,https://fbref.com/en/matches/64dd3e3f/Newcastle-United-Watford-January-15-2022-Premier-League,6
