index,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,link,delta
0,2021-08-15,14:00 ,Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,2.3,1.5,53,"50,673",Declan Rice,4-2-3-1,Martin Atkinson,Match Report,,https://fbref.com/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,0
1,2021-08-23,20:00 ,Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,2.5,0.8,53,"59,901",Declan Rice,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,0
2,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,1.2,0.7,46,"59,751",Declan Rice,4-2-3-1,Stuart Attwell,Match Report,,https://fbref.com/en/matches/8e017435/West-Ham-United-Crystal-Palace-August-28-2021-Premier-League,0
3,2021-09-11,15:00 ,Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,0.6,0.8,58,"30,000",Declan Rice,4-2-3-1,David Coote,Match Report,,https://fbref.com/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0
5,2021-09-19,14:00 ,Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,1.6,1.8,39,"60,000",Declan Rice,4-4-2,Martin Atkinson,Match Report,,https://fbref.com/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League,2
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,1.8,1.3,47,"36,417",Declan Rice,4-2-3-1,Kevin Friend,Match Report,,https://fbref.com/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League,1
9,2021-10-03,14:00 ,Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,1.3,1.2,59,"49,940",Declan Rice,4-2-3-1,Peter Bankes,Match Report,,https://fbref.com/en/matches/f1eead63/West-Ham-United-Brentford-October-3-2021-Premier-League,0
10,2021-10-17,14:00 ,Premier League,Matchweek 8,Sun,Away,W,1,0,Everton,1.5,0.8,61,"39,132",Declan Rice,4-2-3-1,Stuart Attwell,Match Report,,https://fbref.com/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,1
12,2021-10-24,14:00 ,Premier League,Matchweek 9,Sun,Home,W,1,0,Tottenham,1.2,0.7,39,"59,924",Declan Rice,4-2-3-1,Paul Tierney,Match Report,,https://fbref.com/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League,0
14,2021-10-31,16:30 ,Premier League,Matchweek 10,Sun,Away,W,4,1,Aston Villa,2.3,0.7,58,"41,874",Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League,0
16,2021-11-07,16:30 ,Premier League,Matchweek 11,Sun,Home,W,3,2,Liverpool,1.0,1.4,32,"59,909",Declan Rice,4-2-3-1,Craig Pawson,Match Report,,https://fbref.com/en/matches/63538dc7/West-Ham-United-Liverpool-November-7-2021-Premier-League,0
17,2021-11-20,15:00 ,Premier League,Matchweek 12,Sat,Away,L,0,1,Wolves,0.5,1.2,47,"30,667",Declan Rice,4-2-3-1,Mike Dean,Match Report,,https://fbref.com/en/matches/013c4797/Wolverhampton-Wanderers-West-Ham-United-November-20-2021-Premier-League,1
19,2021-11-28,14:00 ,Premier League,Matchweek 13,Sun,Away,L,1,2,Manchester City,0.2,2.1,33,"53,245",Declan Rice,4-2-3-1,Michael Oliver,Match Report,,https://fbref.com/en/matches/c37446de/Manchester-City-West-Ham-United-November-28-2021-Premier-League,1
20,2021-12-01,19:30 ,Premier League,Matchweek 14,Wed,Home,D,1,1,Brighton,1.6,1.1,35,"59,626",Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,,https://fbref.com/en/matches/2049300f/West-Ham-United-Brighton-and-Hove-Albion-December-1-2021-Premier-League,2
21,2021-12-04,12:30 ,Premier League,Matchweek 15,Sat,Home,W,3,2,Chelsea,1.8,1.2,37,"59,942",Declan Rice,3-4-3,Andre Marriner,Match Report,,https://fbref.com/en/matches/776aa8ab/West-Ham-United-Chelsea-December-4-2021-Premier-League,2
23,2021-12-12,14:00 ,Premier League,Matchweek 16,Sun,Away,D,0,0,Burnley,0.6,0.7,60,"18,065",Declan Rice,4-2-3-1,Graham Scott,Match Report,,https://fbref.com/en/matches/6d236ce6/Burnley-West-Ham-United-December-12-2021-Premier-League,2
24,2021-12-15,20:00 ,Premier League,Matchweek 17,Wed,Away,L,0,2,Arsenal,0.3,2.7,45,"59,777",Declan Rice,4-2-3-1,Anthony Taylor,Match Report,,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,1
26,2021-12-26,15:00 ,Premier League,Matchweek 19,Sun,Home,L,2,3,Southampton,1.7,1.3,56,"41,027",Declan Rice,4-2-3-1,Kevin Friend,Match Report,,https://fbref.com/en/matches/36a056cf/West-Ham-United-Southampton-December-26-2021-Premier-League,2
27,2021-12-28,15:00 ,Premier League,Matchweek 20,Tue,Away,W,4,1,Watford,2.9,1.1,57,"20,073",Mark Noble,4-2-3-1,Darren England,Match Report,,https://fbref.com/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League,4
28,2022-01-01,17:30 ,Premier League,Matchweek 21,Sat,Away,W,3,2,Crystal Palace,2.0,2.2,38,"24,351",Declan Rice,4-2-3-1,Darren England,Match Report,,https://fbref.com/en/matches/b0b5cba6/Crystal-Palace-West-Ham-United-January-1-2022-Premier-League,1
30,2022-01-12,19:45 ,Premier League,Matchweek 18,Wed,Home,W,2,0,Norwich City,2.1,0.4,61,"59,775",Declan Rice,4-2-3-1,Simon Hooper,Match Report,,https://fbref.com/en/matches/7d53d1ea/West-Ham-United-Norwich-City-January-12-2022-Premier-League,3
31,2022-01-16,14:00 ,Premier League,Matchweek 22,Sun,Home,L,2,3,Leeds United,2.0,2.3,48,"59,951",Declan Rice,4-2-3-1,Mike Dean,Match Report,,https://fbref.com/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League,0
